TMI Schedule for YSSY on 2026-03-25
Commences: 07:00, Ends: 09:00
  QLK401D : 07:12 - 16R
  VOZ065  : 07:19 - 16R
  JST749  : 07:21 - 16L
  QFA11   : 07:32 - 16R
  QFA481  : 07:38 - 16R
  JST533  : 07:40 - 16L
  VOZ567  : 07:43 - 16L
  QFA479  : 07:44 - 16R
  QFA163  : 07:46 - 16L
  QFA483  : 07:47 - 16R
  VOZ541  : 07:51 - 16L
  RXA6438 : 07:52 - 16R
  VOZ977  : 07:54 - 16L
  VOZ878  : 07:55 - 16R
  TMN21   : 08:01 - 16R
  ANZ248  : 08:02 - 16L
  QFA477  : 08:04 - 16R
  JST611  : 08:05 - 16L
  JST822  : 08:07 - 16R
  QFA139  : 08:08 - 16L
  VOZ882  : 08:10 - 16R
  RXA6783 : 08:11 - 16L
  VOZ981  : 08:13 - 16R
  QLK227D : 08:15 - 16L
  ANZ224  : 08:17 - 16R
  QLK34D  : 08:18 - 16L
  VOZ973  : 08:20 - 16R
  QFA487  : 08:22 - 16L
  QLK209D : 08:23 - 16R
  VOZ670  : 08:26 - 16L
  QLK166D : 08:28 - 16R
  QLK108D : 08:30 - 16L
  QFA546  : 08:31 - 16R
  QFA653  : 08:33 - 16L
  QLK44D  : 08:34 - 16R
  QFA149  : 08:36 - 16L
  QLK1990 : 08:37 - 16R
  RXA6588 : 08:39 - 16L
  RXA6477 : 08:40 - 16R
  ANZ112  : 08:42 - 16L
  JST416  : 08:43 - 16R
  QLK182D : 08:45 - 16L
  QLK459D : 08:46 - 16R
  UAE9616 : 08:48 - 16L
  QLK62D  : 08:49 - 16R
  QLK13D  : 08:51 - 16L
  VOZ886  : 08:52 - 16R
  QLK8D   : 08:54 - 16L
  FDX77   : 08:55 - 16R
  UAE9363 : 08:57 - 16L
Excluded:
  QFA485
  QFA598
Cost: 18
